id,text,category
TA_HL100,Iyaooo Kovam pattutene sothula visatha vachuruvanugale ..iooo...,NOT
TA_HL101,@Asha Apo neenga atha government ku theriya paduthaliya,NOT
TA_HL102,"@Bala sundar ayyo sorry...antha line ah explain pannama vittutu irukan[:drowsy]ok na solran( en appavum indha award function ku vanthurukkaru,neenga en appava paakala pola....en appavukku munnadiye ipdi enna insult panra maathri kevi kettu asinga paduthuringa nu solraaru[:yeah][:yeah] ‘ chiiiii karumam podinnngggg... asingama vaila vanthurum....",NOT
TA_HL105,@kalimuthu ne ena lusa...yaaru edhu panaalum en da religion ah ilukreenga...manishana paaru da modhalla...,NOT
TA_HL109,1st baby ku neat ah feed panunga plzz ipdi irundha epdi sapdum baby udambu full ah agitu plzz don't force tooo by doing this type of method [,NOT
TA_HL113,"2012 il vazhgiromnu iruku ithula, apdina?",NOT
TA_HL118,30 varusa kadan. 25 age engayo idikuthe,NOT
TA_HL124,a vanitha veliya po ethuku thirumpi vantha,NOT
TA_HL125,"à®•à¯à®´à®¨à¯à®¤à¯ˆ ga taste ah saptanum nu ninappanga nenga eappo pathalum paal satham, paruppu, neai, nu thantha avanga saptave pidikkathu nenga mathi mathi tharanum",NOT
TA_HL127,Aaiiii Jolly Yellam onnah polam onnah polam oannaaa polam Update App to view,NOT
TA_HL128,"aaluku etha mathri pesarathu,thurumbi vanthu prblm panathe netha,ipa losliya nalavanu engaluku solra",NOT
TA_HL130,Aarya enna paakkhuraruna sangeethava yena...... [,NOT
TA_HL132,"abi a mugen ta flirt pana sonathe madhu, vanitha thn. ipo boys use panrangalam.",NOT
TA_HL135,achacho yennanga yellarum vazha aasa illanu solranga... enaku innum marriage kuda aagalanga... neraya kanavu kandu vachirukanga... adhanala idhu madhere la nadaka kudadhunga.... na romba pavamga,NOT
TA_HL136,Achchoo paavam pothum vitturunga pa list perusa poguthu[,NOT
TA_HL137,acho nijama v2 la thumghittu irunthangha sirichittan sattham pottu yallarum ena achi nu kemkurgha,NOT
TA_HL143,Ada key illana ethachu irumbu etuthu kuduga,NOT
TA_HL145,ada paavigala last ah surya than kedachara ungaluku[,NOT
TA_HL146,Ada paavingala naa 1991 kids da. Ipo thaanda enaku marriage ku ponu pakaranga [,NOT
TA_HL149,ada pavam ya vedu ga ya vaya thavara alla idathulium soru iruku,NOT
TA_HL150,Ada pavingala ennada eppudi pannuriga antha payain romba pavam ava summa vidakoodathu,NOT
TA_HL151,ada ponga pa 10 varushama idha thaan solranga,NOT
TA_HL152,ada pongapa namma indiavukulla varathunu sonnenga vanthichu namma oorukulla varathunu sonnenga vathichu ithila ithu vearaiya,NOT
TA_HL158,Adapavingla... Ithu ennada suryaku vandha sothanai.... Update App to view,NOT
TA_HL159,adapongapaa ..2012 or 2013 la ye aliyumnu sollitrundhainga...inum onum nadakala......chumma poraliya kelapurainga,NOT
TA_HL160,Ade yen pa ellarum ethuku poi like porinke... Ellam suthamana poi.kasa ah panama uthividuom.. Yarum napathinke vidule iruka,NOT
TA_HL161,adeeeiiiii......ellaya meeri poringa da [,NOT
TA_HL162,Adha oru time aativitta adhu aadine erukumam edha yevano pei nu purali kelapitanga avangala police thedinu erukam next ungalaum theda poranga ready ah eru,NOT
TA_HL163,"adhutha à®ªà®¾à®²à¯ , peter paul ku than. Vijay Kumar family , irukkuradhu thappey illa",NOT
TA_HL169,Adthu madhu tha veliya pova.......      ,NOT
TA_HL171,aduthavangaloda feelingsoda velayaduradu thappu,NOT
TA_HL172,Aga surya um jothikaum etho plan pani taga pola,NOT
TA_HL174,ahha...yen pa indha vishiyatha munnadiye sollirukkalamla...na Ippo dhan net pack poten adhukku v2la vera semmaya paratittu irukkanga...ni solra mari 21 la world alinjutta Apo en baaki balance uh haiyooo....ninachale ¿,NOT
TA_HL177,Aii unne paaththa kobam varuthu poidu,NOT
TA_HL179,aiyo en paiyan ku daily oru magic pannanum ..enala mudiradhula,NOT
TA_HL180,Aiyoo apo thirumbavu porandhu 10 n ckss 12 n clss parichaiyella elludhanuma ­ ”,NOT
TA_HL183,aiyyo makeup ellame oruthiyam pakka mudila da samy ethuku yanga ponnungale karupa eruthalum allaku than,NOT
TA_HL185,ama evalapannuringale ungalala edhamattutha pannamutiu .edhula thaduthdhu niruthdhunga pakkalam .dheridhula avar kanicharunu appaea epiti erukkinga,NOT
TA_HL186,ama evalunga panra setaikku nama answer pannanuma vera ethavathu vela eruntha parunga ponga,NOT
TA_HL187,ama pa ipathu pasanga sapdavey ipdi than emathuthunga,NOT
TA_HL189,andha kaasa hospital katta kudunga da     sothika akkaku apro kovam vandhurum ¤£ ¤£ ¤£ ‚,NOT
TA_HL190,Andha ponnu oda pic mattum yen kaatala....avana mattum kaaturanga .....seththu pona andha kozhandhai ah kaaturanga .. avala yen kaatala....            .....,NOT
TA_HL196,Antha Paiga police pathu koda bayapadama Epadi Aaditu Iruku Paru[,NOT
TA_HL199,Antha ponnu photo potunum apatha avankaluku achinkama irukum yarum thppu panna matanka,NOT
TA_HL200,"Antha time la sothuke vali illama evlo per irunthangalo, ithula car illanu varutha pattaraam",NOT
TA_HL201,Antha train driver kitta solli vandiya nera keelpakkam uda sollungappa,NOT
TA_HL208,apo ithu varaikum nadanthathu elam verum trailer matum thana inimal than main picture iruka[,NOT
TA_HL209,Apo seathu pona A.P.J Yen varala aparam periya periya legend ila nambala vitu ponaga avalavu Yen namba CM Amma Yen varala. Avangala vanthu iruntha today yevalavo problem solve agirukum Yen yenga thatha Patty seathu ponaga avanga varala hey vanthu iruntha Yen family ila seathalum avanga athma yenga kuda vilayadi irupangala,NOT
TA_HL212,APPADI ETHANAI PERUKU POLICE KARANGA EMATHIRUKANKA NAN ORU MERCHANT NADAR THAN ENNIDAM 100 POLICE VADIKAIYALARAGA IRUNTHIRUKIRARGAL ORUVAR POLUM ENNAI EMAATTIYATHU ILLAI YARUM VANGI VITU ILLAI ENTU SOLVATHU ILLAI ITHARKAGA THAN INTHA MARANAM NADAINTHIRKA VOIPU ILLAI ENNA VENTU EASANUKUTHAN THERIYUM,NOT
TA_HL213,appo singam 2 la question paper ra thiruduna maathiri enga 10th question paper rayum thiruduvaangalla [,NOT
TA_HL214,appo udalpayirchii machine paarkuku eppidi varum ..ithu poi..athuvum pakkathula irukuravangala onnum pannaama ..saagasam kaatitu iruku [,NOT
TA_HL216,appovae sonnaraula enga thala neenga kekkala,NOT
TA_HL218,apudiyathu papava sapada vachirunga,NOT
TA_HL222,Arivodu pesu. summa ethayavathu pesagudadu vasigara mugam RAJINI mattumthan. vijayakanth oru natigar RAJINI oru super star. Sivaji _ SSRajendran mathiri,NOT
TA_HL223,arunvijay wife enna money mari erukeee...vanitha akaa missing...,NOT
TA_HL224,athaana.... Love lam Athuva varanum.... Varlana Vitrnum...namakku vara pora ponna epd paththukanum... atha yosikanum. ipd itheye pozhappabpaththa... epd da dei..love pannitu... epd kappathuva.. rendaiyum la yosikanum...,NOT
